,region,transportation_type,date,mobility_trend
1,Alameda County,driving,1/13/2020,100
2,Alameda County,driving,1/14/2020,102.85
3,Alameda County,driving,1/15/2020,106.26
4,Alameda County,driving,1/16/2020,107.14
5,Alameda County,driving,1/17/2020,124.52
6,Alameda County,driving,1/18/2020,114
7,Alameda County,driving,1/19/2020,85.41
8,Alameda County,driving,1/20/2020,98.52
9,Alameda County,driving,1/21/2020,108.8
10,Alameda County,driving,1/22/2020,110.27
11,Alameda County,driving,1/23/2020,108.72
12,Alameda County,driving,1/24/2020,125.38
13,Alameda County,driving,1/25/2020,111.34
14,Alameda County,driving,1/26/2020,84.48
15,Alameda County,driving,1/27/2020,98.83
16,Alameda County,driving,1/28/2020,107.2
17,Alameda County,driving,1/29/2020,106.86
18,Alameda County,driving,1/30/2020,111.63
19,Alameda County,driving,1/31/2020,125.36
20,Alameda County,driving,2/1/2020,115.9
21,Alameda County,driving,2/2/2020,78.58
22,Alameda County,driving,2/3/2020,99.82
23,Alameda County,driving,2/4/2020,105.64
24,Alameda County,driving,2/5/2020,105.89
25,Alameda County,driving,2/6/2020,114.38
26,Alameda County,driving,2/7/2020,127.46
27,Alameda County,driving,2/8/2020,120.65
28,Alameda County,driving,2/9/2020,97.3
29,Alameda County,driving,2/10/2020,105.01
30,Alameda County,driving,2/11/2020,111.89
31,Alameda County,driving,2/12/2020,111.32
32,Alameda County,driving,2/13/2020,121.42
33,Alameda County,driving,2/14/2020,141.9
34,Alameda County,driving,2/15/2020,120.59
35,Alameda County,driving,2/16/2020,98.13
36,Alameda County,driving,2/17/2020,99.27
37,Alameda County,driving,2/18/2020,113.86
38,Alameda County,driving,2/19/2020,110.3
39,Alameda County,driving,2/20/2020,114.03
40,Alameda County,driving,2/21/2020,134.5
41,Alameda County,driving,2/22/2020,127.31
42,Alameda County,driving,2/23/2020,99.06
43,Alameda County,driving,2/24/2020,107.56
44,Alameda County,driving,2/25/2020,110.9
45,Alameda County,driving,2/26/2020,112.18
46,Alameda County,driving,2/27/2020,116.01
47,Alameda County,driving,2/28/2020,130.89
48,Alameda County,driving,2/29/2020,123.67
49,Alameda County,driving,3/1/2020,92.35
50,Alameda County,driving,3/2/2020,106.76
51,Alameda County,driving,3/3/2020,113.19
52,Alameda County,driving,3/4/2020,110.67
53,Alameda County,driving,3/5/2020,111.64
54,Alameda County,driving,3/6/2020,125.77
55,Alameda County,driving,3/7/2020,112.82
56,Alameda County,driving,3/8/2020,85.35
57,Alameda County,driving,3/9/2020,97.56
58,Alameda County,driving,3/10/2020,102.62
59,Alameda County,driving,3/11/2020,101.67
60,Alameda County,driving,3/12/2020,98.21
61,Alameda County,driving,3/13/2020,104.81
62,Alameda County,driving,3/14/2020,77.56
63,Alameda County,driving,3/15/2020,56.24
64,Alameda County,driving,3/16/2020,78.35
65,Alameda County,driving,3/17/2020,51.51
66,Alameda County,driving,3/18/2020,49.39
67,Alameda County,driving,3/19/2020,49.93
68,Alameda County,driving,3/20/2020,51.87
69,Alameda County,driving,3/21/2020,41.75
70,Alameda County,driving,3/22/2020,33.7
71,Alameda County,driving,3/23/2020,42.27
72,Alameda County,driving,3/24/2020,41.5
73,Alameda County,driving,3/25/2020,43.9
74,Alameda County,driving,3/26/2020,44.44
75,Alameda County,driving,3/27/2020,48.52
76,Alameda County,driving,3/28/2020,38.91
77,Alameda County,driving,3/29/2020,33.12
78,Alameda County,driving,3/30/2020,43.02
79,Alameda County,driving,3/31/2020,44.58
80,Alameda County,driving,4/1/2020,44.14
81,Alameda County,driving,4/2/2020,44.01
82,Alameda County,driving,4/3/2020,50.02
83,Alameda County,driving,4/4/2020,39.25
84,Alameda County,driving,4/5/2020,29.93
85,Alameda County,driving,4/6/2020,39.67
86,Alameda County,driving,4/7/2020,43.44
87,Alameda County,driving,4/8/2020,43.39
88,Alameda County,driving,4/9/2020,43.47
89,Alameda County,driving,4/10/2020,50.84
90,Alameda County,driving,4/11/2020,44.25
91,Alameda County,driving,4/12/2020,32.07
92,Alameda County,driving,4/13/2020,43.61
93,Alameda County,driving,4/14/2020,45.26
94,Alameda County,driving,4/15/2020,48.03
95,Alameda County,driving,4/16/2020,47.18
96,Alameda County,driving,4/17/2020,52.87
97,Alameda County,driving,4/18/2020,49.17
98,Alameda County,driving,4/19/2020,39.48
99,Alameda County,driving,4/20/2020,46.7
100,Alameda County,driving,4/21/2020,47.81
101,Alameda County,driving,4/22/2020,50.29
102,Alameda County,driving,4/23/2020,51.21
103,Alameda County,driving,4/24/2020,58.01
104,Alameda County,driving,4/25/2020,52.86
105,Alameda County,driving,4/26/2020,43.14
106,Alameda County,driving,4/27/2020,50.31
107,Alameda County,driving,4/28/2020,52.19
108,Alameda County,driving,4/29/2020,52.46
109,Alameda County,driving,4/30/2020,55.79
110,Alameda County,driving,5/1/2020,64.58
111,Alameda County,driving,5/2/2020,58.23
112,Alameda County,driving,5/3/2020,48.14
113,Alameda County,driving,5/4/2020,55.27
114,Alameda County,driving,5/5/2020,59.49
115,Alameda County,driving,5/6/2020,59.57
116,Alameda County,driving,5/7/2020,62.57
117,Alameda County,driving,5/8/2020,71.73
118,Alameda County,driving,5/9/2020,67.42
119,Alameda County,driving,5/10/2020,52.57
120,Alameda County,driving,5/13/2020,65.21
121,Alameda County,driving,5/14/2020,66.93
