,date,county,C,region,fips,positive_patients,suspected_patients,icu_positive_patients,icu_suspected_patients,icu_available_beds
27943,3/29/2020,Alameda, County,Alameda County,1,36,91,20,16,119
27888,3/30/2020,Alameda, County,Alameda County,1,59,89,27,18,146
27833,3/31/2020,Alameda, County,Alameda County,1,56,94,27,17,77
27777,4/1/2020,Alameda, County,Alameda County,1,52,76,27,15,106
27721,4/2/2020,Alameda, County,Alameda County,1,57,76,29,17,112
27665,4/3/2020,Alameda, County,Alameda County,1,64,74,32,13,117
27609,4/4/2020,Alameda, County,Alameda County,1,60,95,35,18,120
27553,4/5/2020,Alameda, County,Alameda County,1,72,87,39,13,113
27497,4/6/2020,Alameda, County,Alameda County,1,79,70,43,19,92
27441,4/7/2020,Alameda, County,Alameda County,1,76,84,43,25,90
27385,4/8/2020,Alameda, County,Alameda County,1,84,69,45,18,111
27329,4/9/2020,Alameda, County,Alameda County,1,80,76,44,18,107
27273,4/10/2020,Alameda, County,Alameda County,1,93,71,45,26,128
27217,4/11/2020,Alameda, County,Alameda County,1,87,91,46,19,121
27161,4/12/2020,Alameda, County,Alameda County,1,91,101,42,21,52
27105,4/13/2020,Alameda, County,Alameda County,1,85,81,40,21,58
27049,4/14/2020,Alameda, County,Alameda County,1,92,106,34,21,61
26993,4/15/2020,Alameda, County,Alameda County,1,81,99,34,11,70
26937,4/16/2020,Alameda, County,Alameda County,1,73,82,31,9,66
26881,4/17/2020,Alameda, County,Alameda County,1,85,91,35,18,55
26825,4/18/2020,Alameda, County,Alameda County,1,82,73,36,16,62
26769,4/19/2020,Alameda, County,Alameda County,1,84,63,37,5,61
26713,4/20/2020,Alameda, County,Alameda County,1,85,52,38,4,59
26657,4/21/2020,Alameda, County,Alameda County,1,85,59,41,9,66
26601,4/22/2020,Alameda, County,Alameda County,1,84,61,38,17,46
26545,4/23/2020,Alameda, County,Alameda County,1,81,90,37,24,95
26489,4/24/2020,Alameda, County,Alameda County,1,79,63,39,10,110
26433,4/25/2020,Alameda, County,Alameda County,1,83,53,39,6,197
26377,4/26/2020,Alameda, County,Alameda County,1,84,43,42,5,191
26321,4/27/2020,Alameda, County,Alameda County,1,81,47,39,8,183
26265,4/28/2020,Alameda, County,Alameda County,1,76,64,37,13,148
26209,4/29/2020,Alameda, County,Alameda County,1,76,63,33,13,168
26153,4/30/2020,Alameda, County,Alameda County,1,74,52,34,12,165
26097,5/1/2020,Alameda, County,Alameda County,1,75,60,32,13,165
26041,5/2/2020,Alameda, County,Alameda County,1,73,59,31,7,163
25985,5/3/2020,Alameda, County,Alameda County,1,73,62,33,15,164
25929,5/4/2020,Alameda, County,Alameda County,1,73,62,31,15,163
25873,5/5/2020,Alameda, County,Alameda County,1,76,71,28,14,143
25817,5/6/2020,Alameda, County,Alameda County,1,78,58,34,9,171
25761,5/7/2020,Alameda, County,Alameda County,1,75,61,34,9,131
25705,5/8/2020,Alameda, County,Alameda County,1,80,56,38,8,126
25649,5/9/2020,Alameda, County,Alameda County,1,81,58,40,11,122
25593,5/10/2020,Alameda, County,Alameda County,1,77,46,40,4,125
25537,5/11/2020,Alameda, County,Alameda County,1,78,53,36,13,125
25481,5/12/2020,Alameda, County,Alameda County,1,79,51,34,12,116
25425,5/13/2020,Alameda, County,Alameda County,1,81,59,37,12,117
25369,5/14/2020,Alameda, County,Alameda County,1,82,56,37,13,118
25313,5/15/2020,Alameda, County,Alameda County,1,76,72,38,19,117
25257,5/16/2020,Alameda, County,Alameda County,1,81,64,40,10,114
25201,5/17/2020,Alameda, County,Alameda County,1,74,72,38,15,125
25145,5/18/2020,Alameda, County,Alameda County,1,87,51,42,10,120
25089,5/19/2020,Alameda, County,Alameda County,1,83,108,40,16,122
25033,5/20/2020,Alameda, County,Alameda County,1,81,134,39,24,112
24977,5/21/2020,Alameda, County,Alameda County,1,77,162,39,23,114
24921,5/22/2020,Alameda, County,Alameda County,1,79,81,38,17,119
24865,5/23/2020,Alameda, County,Alameda County,1,80,78,41,19,110
24809,5/24/2020,Alameda, County,Alameda County,1,88,61,44,11,119
24753,5/25/2020,Alameda, County,Alameda County,1,91,65,40,20,115
24697,5/26/2020,Alameda, County,Alameda County,1,93,76,37,20,124
24641,5/27/2020,Alameda, County,Alameda County,1,95,69,37,10,128
24585,5/28/2020,Alameda, County,Alameda County,1,96,57,44,13,106
24529,5/29/2020,Alameda, County,Alameda County,1,102,77,42,12,118
24473,5/30/2020,Alameda, County,Alameda County,1,105,41,38,12,126
24417,5/31/2020,Alameda, County,Alameda County,1,99,33,37,8,131
24361,6/1/2020,Alameda, County,Alameda County,1,97,51,37,9,134
24305,6/2/2020,Alameda, County,Alameda County,1,92,68,33,5,131
24249,6/3/2020,Alameda, County,Alameda County,1,89,80,32,6,144
24193,6/4/2020,Alameda, County,Alameda County,1,82,92,32,9,157
24137,6/5/2020,Alameda, County,Alameda County,1,82,68,30,10,154
24081,6/6/2020,Alameda, County,Alameda County,1,83,72,30,11,156
24025,6/7/2020,Alameda, County,Alameda County,1,92,74,29,11,152
23969,6/8/2020,Alameda, County,Alameda County,1,92,60,31,12,144
23913,6/9/2020,Alameda, County,Alameda County,1,94,52,32,9,137
23857,6/10/2020,Alameda, County,Alameda County,1,88,46,32,11,147
23801,6/11/2020,Alameda, County,Alameda County,1,86,38,32,7,145
23745,6/12/2020,Alameda, County,Alameda County,1,84,42,35,6,120
23689,6/13/2020,Alameda, County,Alameda County,1,87,27,33,3,150
23633,6/14/2020,Alameda, County,Alameda County,1,88,36,33,9,149
23577,6/15/2020,Alameda, County,Alameda County,1,98,31,37,9,148
23521,6/16/2020,Alameda, County,Alameda County,1,95,38,36,12,142
23465,6/17/2020,Alameda, County,Alameda County,1,90,47,36,13,135
23409,6/18/2020,Alameda, County,Alameda County,1,77,53,38,16,195
23353,6/19/2020,Alameda, County,Alameda County,1,80,57,36,20,192
23297,6/20/2020,Alameda, County,Alameda County,1,77,44,33,12,203
23241,6/21/2020,Alameda, County,Alameda County,1,76,43,30,12,203
23185,6/22/2020,Alameda, County,Alameda County,1,78,34,30,8,196
23129,6/23/2020,Alameda, County,Alameda County,1,86,42,33,11,196
23073,6/24/2020,Alameda, County,Alameda County,1,89,41,31,9,147
23017,6/25/2020,Alameda, County,Alameda County,1,91,49,34,10,147
22961,6/26/2020,Alameda, County,Alameda County,1,92,41,35,9,123
22905,6/27/2020,Alameda, County,Alameda County,1,99,40,36,11,115
22849,6/28/2020,Alameda, County,Alameda County,1,102,39,35,10,124
22793,6/29/2020,Alameda, County,Alameda County,1,111,35,38,6,138
22737,6/30/2020,Alameda, County,Alameda County,1,116,41,43,6,143
22681,7/1/2020,Alameda, County,Alameda County,1,123,47,43,12,141
22625,7/2/2020,Alameda, County,Alameda County,1,141,52,45,10,129
22569,7/3/2020,Alameda, County,Alameda County,1,157,51,46,9,126
22513,7/4/2020,Alameda, County,Alameda County,1,146,44,44,8,137
22457,7/5/2020,Alameda, County,Alameda County,1,146,37,48,10,134
22401,7/6/2020,Alameda, County,Alameda County,1,142,45,50,10,132
22345,7/7/2020,Alameda, County,Alameda County,1,145,45,51,13,133
22289,7/8/2020,Alameda, County,Alameda County,1,140,48,55,8,127
22233,7/9/2020,Alameda, County,Alameda County,1,133,52,53,13,128
22177,7/10/2020,Alameda, County,Alameda County,1,137,46,53,9,122
22121,7/11/2020,Alameda, County,Alameda County,1,144,44,48,12,121
22065,7/12/2020,Alameda, County,Alameda County,1,150,37,50,9,139
22009,7/13/2020,Alameda, County,Alameda County,1,152,48,52,9,144
21953,7/14/2020,Alameda, County,Alameda County,1,158,46,56,8,144
21897,7/15/2020,Alameda, County,Alameda County,1,159,43,58,10,143
21841,7/16/2020,Alameda, County,Alameda County,1,164,47,50,6,142
21785,7/17/2020,Alameda, County,Alameda County,1,157,49,48,5,149
21729,7/18/2020,Alameda, County,Alameda County,1,163,63,49,4,151
21673,7/19/2020,Alameda, County,Alameda County,1,159,69,53,10,128
21617,7/20/2020,Alameda, County,Alameda County,1,171,59,51,8,121
21561,7/21/2020,Alameda, County,Alameda County,1,176,63,52,10,116
21505,7/22/2020,Alameda, County,Alameda County,1,166,75,52,7,-8
21449,7/23/2020,Alameda, County,Alameda County,1,201,82,47,9,90
21393,7/24/2020,Alameda, County,Alameda County,1,188,65,51,6,111
21337,7/25/2020,Alameda, County,Alameda County,1,180,67,58,7,105
21281,7/26/2020,Alameda, County,Alameda County,1,188,69,62,12,96
21225,7/27/2020,Alameda, County,Alameda County,1,198,51,65,10,98
21169,7/28/2020,Alameda, County,Alameda County,1,213,43,64,3,114
21113,7/29/2020,Alameda, County,Alameda County,1,204,58,59,10,94
21057,7/30/2020,Alameda, County,Alameda County,1,198,47,60,6,92
21001,7/31/2020,Alameda, County,Alameda County,1,202,49,58,5,102
20945,8/1/2020,Alameda, County,Alameda County,1,198,50,56,7,99
20889,8/2/2020,Alameda, County,Alameda County,1,194,42,55,9,91
20833,8/3/2020,Alameda, County,Alameda County,1,193,49,55,6,84
20777,8/4/2020,Alameda, County,Alameda County,1,196,54,53,10,93
20721,8/5/2020,Alameda, County,Alameda County,1,190,56,49,7,98
20665,8/6/2020,Alameda, County,Alameda County,1,175,50,52,7,98
20609,8/7/2020,Alameda, County,Alameda County,1,167,47,51,9,87
20553,8/8/2020,Alameda, County,Alameda County,1,163,45,58,6,92
20497,8/9/2020,Alameda, County,Alameda County,1,169,45,55,2,92
20441,8/10/2020,Alameda, County,Alameda County,1,166,38,56,2,90
20385,8/11/2020,Alameda, County,Alameda County,1,170,53,59,7,90
20329,8/12/2020,Alameda, County,Alameda County,1,172,46,57,3,77
20273,8/13/2020,Alameda, County,Alameda County,1,165,40,61,4,89
20217,8/14/2020,Alameda, County,Alameda County,1,172,38,61,7,92
20161,8/15/2020,Alameda, County,Alameda County,1,181,48,65,12,88
20105,8/16/2020,Alameda, County,Alameda County,1,188,56,63,10,93
20049,8/17/2020,Alameda, County,Alameda County,1,205,52,69,10,82
19993,8/18/2020,Alameda, County,Alameda County,1,200,50,70,5,92
19937,8/19/2020,Alameda, County,Alameda County,1,202,56,68,4,95
19881,8/20/2020,Alameda, County,Alameda County,1,204,50,73,4,91
19825,8/21/2020,Alameda, County,Alameda County,1,207,53,69,8,82
19769,8/22/2020,Alameda, County,Alameda County,1,196,52,65,9,86
19713,8/23/2020,Alameda, County,Alameda County,1,187,46,64,6,97
19657,8/24/2020,Alameda, County,Alameda County,1,179,48,69,7,92
19601,8/25/2020,Alameda, County,Alameda County,1,179,50,65,7,89
19545,8/26/2020,Alameda, County,Alameda County,1,190,48,69,9,78
19489,8/27/2020,Alameda, County,Alameda County,1,198,47,67,20,77
19433,8/28/2020,Alameda, County,Alameda County,1,202,46,63,7,89
19377,8/29/2020,Alameda, County,Alameda County,1,188,44,58,6,76
19321,8/30/2020,Alameda, County,Alameda County,1,183,37,53,3,89
19265,8/31/2020,Alameda, County,Alameda County,1,173,46,46,10,96
19209,9/1/2020,Alameda, County,Alameda County,1,162,48,49,8,87
19153,9/2/2020,Alameda, County,Alameda County,1,150,41,44,6,95
19097,9/3/2020,Alameda, County,Alameda County,1,147,54,43,4,95
19041,9/4/2020,Alameda, County,Alameda County,1,142,35,44,3,100
18985,9/5/2020,Alameda, County,Alameda County,1,145,42,37,4,105
18929,9/6/2020,Alameda, County,Alameda County,1,146,43,40,2,114
18873,9/7/2020,Alameda, County,Alameda County,1,148,57,38,5,113
18817,9/8/2020,Alameda, County,Alameda County,1,154,50,40,7,107
18761,9/9/2020,Alameda, County,Alameda County,1,149,40,38,8,105
18705,9/10/2020,Alameda, County,Alameda County,1,142,41,39,6,88
18649,9/11/2020,Alameda, County,Alameda County,1,131,47,33,10,100
18593,9/12/2020,Alameda, County,Alameda County,1,121,47,35,9,102
18537,9/13/2020,Alameda, County,Alameda County,1,115,47,33,9,118
18481,9/14/2020,Alameda, County,Alameda County,1,118,37,33,8,117
18425,9/15/2020,Alameda, County,Alameda County,1,110,44,34,8,118
18369,9/16/2020,Alameda, County,Alameda County,1,101,46,33,4,121
18313,9/17/2020,Alameda, County,Alameda County,1,98,37,31,5,117
18257,9/18/2020,Alameda, County,Alameda County,1,99,39,36,5,113
18201,9/19/2020,Alameda, County,Alameda County,1,95,48,37,5,112
18145,9/20/2020,Alameda, County,Alameda County,1,98,46,38,8,108
18089,9/21/2020,Alameda, County,Alameda County,1,96,34,36,5,115
18033,9/22/2020,Alameda, County,Alameda County,1,91,36,35,5,117
17977,9/23/2020,Alameda, County,Alameda County,1,92,43,32,5,120
17921,9/24/2020,Alameda, County,Alameda County,1,87,36,31,8,122
17865,9/25/2020,Alameda, County,Alameda County,1,86,27,30,2,125
17809,9/26/2020,Alameda, County,Alameda County,1,75,36,24,6,118
17753,9/27/2020,Alameda, County,Alameda County,1,76,37,25,5,124
17697,9/28/2020,Alameda, County,Alameda County,1,79,35,25,7,125
17641,9/29/2020,Alameda, County,Alameda County,1,78,47,26,5,126
17585,9/30/2020,Alameda, County,Alameda County,1,84,32,27,2,121
17529,10/1/2020,Alameda, County,Alameda County,1,94,36,28,5,101
17473,10/2/2020,Alameda, County,Alameda County,1,76,34,27,4,103
17417,10/3/2020,Alameda, County,Alameda County,1,78,41,27,6,101
17361,10/4/2020,Alameda, County,Alameda County,1,71,29,23,6,115
17305,10/5/2020,Alameda, County,Alameda County,1,73,37,23,6,110
17249,10/6/2020,Alameda, County,Alameda County,1,75,40,24,5,113
17193,10/7/2020,Alameda, County,Alameda County,1,66,34,25,3,116
17137,10/8/2020,Alameda, County,Alameda County,1,61,44,21,4,106
17081,10/9/2020,Alameda, County,Alameda County,1,59,41,21,4,111
17025,10/10/2020,Alameda, County,Alameda County,1,64,46,24,5,121
16969,10/11/2020,Alameda, County,Alameda County,1,61,44,20,7,126
16913,10/12/2020,Alameda, County,Alameda County,1,61,45,19,9,124
